"canonical_or_proposed_url","title","main_topic_inferred","audience_inferred","intent_stage_inferred","publication_date_local_metadata","updated_date_local_metadata","publishAt_local","live_sitemap","http_status","body_review_basis"
"https://www.form5472prep.com/blog/new-mexico-llc-foreign-owner-tax-filing","New Mexico LLC Non-Resident Annual Requirements","Jurisdiction-specific","Foreign owners of US LLCs","Take action","2026-08-19","2026-09-05","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/oregon-llc-foreign-owner-tax-filing","Oregon LLC Foreign Owner Tax Filing Requirements","Form 5472 eligibility and operations","Foreign owners of US LLCs","Take action","2026-08-28","2026-09-05","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/pro-forma-form-1120-foreign-owned-llc","Pro Forma Form 1120 for a Foreign-Owned LLC","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-19","2026-09-11","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/stripe-paypal-wise-form-5472","Form 5472 for Stripe, PayPal, and Wise Activity","Transactions and records","Foreign owners of US LLCs","Understand the problem","2026-08-03","2026-09-11","2026-08-03T09:00:00-04:00","yes","200","Live body reviewed; local body also available"
"https://www.form5472prep.com/blog/tax-extension-without-itin","No ITIN Yet? File an Extension and Pay Tax Anyway","ITIN","Individuals with a potential US federal tax ID need","Take action","2026-09-11","2026-09-11","","yes","200","Local body reviewed; live body not compared"
"https://www.form5472prep.com/blog/texas-llc-foreign-owner-tax-filing","Texas LLC Filing Checklist for Foreign Owners (2026)","Jurisdiction-specific","Foreign owners of US LLCs","Take action","2026-08-19","2026-09-05","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/us-bank-account-foreign-owned-llc","US Bank Account for a Foreign-Owned LLC","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-08-28","2026-08-28","","yes","200","Live body reviewed; local body also available"
"https://www.form5472prep.com/blog/w8ben-vs-w9-foreign-owned-llc","W-8BEN or W-9 for a Foreign-Owned LLC?","Form 5472 eligibility and operations","Foreign owners of US LLCs","Compare solutions","2026-08-28","2026-08-28","","yes","200","Live body reviewed; local body also available"
"https://www.form5472prep.com/blog/washington-llc-foreign-owner-tax-filing","Washington LLC Foreign Owner Tax Filing Requirements","Form 5472 eligibility and operations","Foreign owners of US LLCs","Take action","2026-08-28","2026-09-05","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/what-is-form-5472","What Is IRS Form 5472? A Jargon-Free Guide","Form 5472 eligibility and operations","Foreign owners of US LLCs","Understand the problem","2026-05-19","2026-08-28","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/when-nonresident-actually-needs-itin","When Does a Nonresident Actually Need an ITIN?","ITIN","Individuals with a potential US federal tax ID need","Understand the problem","2026-09-05","2026-09-05","","yes","200","Live body reviewed; local body also available"
"https://www.form5472prep.com/blog/white-label-form-5472-filing-accounting-firms","White-Label Form 5472 Filing for Accounting Firms","Partners","Formation agents and professional partners","Compare solutions","2026-09-03","2026-09-03","","yes","200","Metadata only; coverage unassessed"
"https://www.form5472prep.com/blog/wyoming-llc-foreign-owner-tax-filing","Wyoming LLC Foreign-Owner Filing Checklist","Jurisdiction-specific","Foreign owners of US LLCs","Take action","2026-08-15","2026-09-05","","yes","200","Metadata only; coverage unassessed"
